title,authors,editors,translator,date,rating,re-read,pages,non-fiction,comic,published
Whoops! : Why Everyone Owes Everyone and No One Can Pay,John Lanchester,,,2010-11-01,+,,256,TRUE,,2010
Cartographies of Time: A History of the Timeline,Anthony Grafton,,,2010-11-01,,,272,TRUE,,2010
Last and First Men,Olaf Stapledon,,,2010-12-01,,,336,,,1930
Star Maker,Olaf Stapledon,,,2010-12-01,++,,288,,,1937
Red Plenty,Francis Spufford,,,2010-12-01,+,,448,,,2010
Acme Novelty Library #20,Chris Ware,,,2010-12-01,+,,72,,TRUE,2010
The Embedding,Ian Watson,,,2011-01-01,,,256,,,1973
The Eye of the Queen,Phillip Mann,,,2011-01-01,,,224,,,1982
One Moonlit Night,Caradog Prichard,,,2011-01-01,+,,192,,,1961
Strange Tales,"Peter Bagge,Nick Bertozzi,John Leavitt,Nicholas Gurewitch,Becky Cloonan,James Kolchalka,Paul Pope,Stan Sakai,Michael Kupperman,Junko Mizuno",,,2011-02-01,,,192,,TRUE,2010
Accelerando,Charles Stross,,,2011-02-01,,,448,,,2005
Black Hole,Charles Burns,,,2011-02-01,+,,368,,TRUE,2005
The Lovecraft Anthology. Vol. 1,Dan Lockwood,Dan Lockwood,,2011-03-01,,,120,,TRUE,2011
Logicomix: An Epic Search for Truth,Apostolos Doxiadis,,,2011-03-01,,,352,,TRUE,2009
Forever Peace,Joe Haldeman,,,2011-03-01,,,351,,,1997
Mind of My Mind,Octavia E. Butler,,,2011-03-01,,,224,,,1977
Cloud Atlas,David Mitchell,,,2011-03-01,,,529,,,2004
Clay's Ark,Octavia E. Butler,,,2011-04-01,,,224,,,1984
Patternmaster,Octavia E. Butler,,,2011-04-01,,,208,,,1976
Atlas of Remote Islands: Fifty Islands I Have Never Set Foot on and Never Will,Judith Schalansky,,,2011-04-01,,,144,TRUE,,2009
The Yiddish Policemen's Union,Michael Chabon,,,2011-05-01,+,,464,,,2007
Blindness,José Saramago,,,2011-05-01,++,,320,,,1995
"Buddha, Volume 1: Kapilavastu",Osamu Tezuka,,,2011-05-01,,,400,,TRUE,1972
Cocaine Nights,J. G. Ballard,,,2011-05-01,,,352,,,1996
The Bulletproof Coffin,"David Hine,Shaky Kane",,,2011-05-01,,,200,,TRUE,2011
Un Lun Dun,China Miéville,,,2011-05-01,+,,528,,,2007
The Last Werewolf,Glen Duncan,,,2011-05-01,,,352,,,2011
Embassytown,China Miéville,,,2011-06-01,+,,416,,,2011
"Buddha, Volume 2: The Four Encounters",Osamu Tezuka,,,2011-06-01,,,411,,TRUE,1974
